period,median_price_aud
Mar-2002,241.0
Jun-2002,260.0
Sep-2002,265.0
Dec-2002,280.0
Mar-2003,270.0
Jun-2003,287.5
Sep-2003,295.0
Dec-2003,320.0
Mar-2004,305.0
Jun-2004,307.5
Sep-2004,302.0
Dec-2004,321.0
Mar-2005,310.0
Jun-2005,320.0
Sep-2005,320.0
Dec-2005,332.0
Mar-2006,330.0
Jun-2006,345.0
Sep-2006,346.0
Dec-2006,360.0
Mar-2007,345.0
Jun-2007,362.0
Sep-2007,370.0
Dec-2007,410.0
Mar-2008,385.0
Jun-2008,400.0
Sep-2008,385.0
Dec-2008,385.0
Mar-2009,375.0
Jun-2009,400.0
Sep-2009,422.0
Dec-2009,477.5
Mar-2010,468.0
Jun-2010,500.0
Sep-2010,488.3
Dec-2010,520.0
Mar-2011,485.0
Jun-2011,502.5
Sep-2011,487.0
Dec-2011,495.0
Mar-2012,478.0
Jun-2012,485.0
Sep-2012,480.0
Dec-2012,508.0
Mar-2013,486.0
Jun-2013,500.0
Sep-2013,520.0
Dec-2013,561.0
Mar-2014,504.0
Jun-2014,528.9
Sep-2014,505.0
Dec-2014,552.5
Mar-2015,525.0
Jun-2015,561.0
Sep-2015,580.0
Dec-2015,612.3
Mar-2016,568.0
Jun-2016,610.0
Sep-2016,605.0
Dec-2016,675.0
Mar-2017,657.5
Jun-2017,720.0
Sep-2017,692.0
Dec-2017,750.0
Mar-2018,731.0
Jun-2018,750.0
Sep-2018,720.0
Dec-2018,735.0
Mar-2019,685.0
Jun-2019,700.0
Sep-2019,705.0
Dec-2019,760.0
Mar-2020,730.0
Jun-2020,720.0
Sep-2020,710.0
Dec-2020,760.0
Mar-2021,800.0
Jun-2021,830.0
Sep-2021,840.0
Dec-2021,940.0
Mar-2022,888.0
Jun-2022,900.0
Sep-2022,850.0
Dec-2022,875.0
Mar-2023,835.0
Jun-2023,840.3
Sep-2023,832.0
Dec-2023,865.0
Mar-2024,845.0
Jun-2024,845.0
Sep-2024,825.0
Dec-2024,850.0
Mar-2025,840.0
Jun-2025,845.0
Sep-2025,846.8
Dec-2025,875.0
