period,weekly_earnings_aud
Nov-1994,668.90
May-1995,685.90
Nov-1995,698.60
May-1996,712.70
Nov-1996,734.40
May-1997,733.00
Nov-1997,751.80
May-1998,765.20
Nov-1998,778.40
May-1999,775.70
Nov-1999,789.60
May-2000,799.70
Nov-2000,807.90
May-2001,828.50
Nov-2001,859.90
May-2002,906.00
Nov-2002,924.40
May-2003,958.70
Nov-2003,989.10
May-2004,984.50
Nov-2004,1043.00
May-2005,1049.50
Nov-2005,1061.30
May-2006,1064.10
Nov-2006,1069.40
May-2007,1100.10
Nov-2007,1121.70
May-2008,1149.30
Nov-2008,1173.50
May-2009,1205.90
Nov-2009,1232.10
May-2010,1268.20
Nov-2010,1284.90
May-2011,1300.90
Nov-2011,1346.30
May-2012,1357.50
Nov-2012,1392.40
May-2013,1403.90
Nov-2013,1447.60
May-2014,1436.80
Nov-2014,1455.90
May-2015,1450.30
Nov-2015,1481.60
May-2016,1506.20
Nov-2016,1559.80
May-2017,1562.60
Nov-2017,1580.90
May-2018,1606.90
Nov-2018,1624.60
May-2019,1665.50
Nov-2019,1707.20
May-2020,1764.60
Nov-2020,1768.90
May-2021,1802.80
Nov-2021,1820.60
May-2022,1808.10
Nov-2022,1861.70
May-2023,1896.20
Nov-2023,1916.90
May-2024,1953.10
Nov-2024,1992.80
May-2025,2025.40
Nov-2025,2079.60
